Hugo Symbol	ensembl	oncokb	mskcc	mane
HOXB13	ENST00000290295	ENST00000290295	ENST00000290295	ENST00000290295
HRAS	ENST00000311189	ENST00000451590	ENST00000311189	ENST00000311189
HSD17B2	ENST00000199936	ENST00000199936		ENST00000199936
HSD3B1	ENST00000369413	ENST00000369413		ENST00000369413
HSP90AA1	ENST00000216281	ENST00000216281		ENST00000216281
HTATIP2	ENST00000451739	ENST00000421577		ENST00000451739
ICOSLG	ENST00000407780	ENST00000407780	ENST00000407780	
ID1	ENST00000376112	ENST00000376112		ENST00000376112
ID3	ENST00000374561	ENST00000374561	ENST00000374561	ENST00000374561
IDH1	ENST00000345146	ENST00000345146	ENST00000345146	ENST00000345146
IDH2	ENST00000330062	ENST00000330062	ENST00000330062	ENST00000330062
IFNAR1	ENST00000270139	ENST00000270139		ENST00000270139
IFNGR1	ENST00000367739	ENST00000367739	ENST00000367739	ENST00000367739
IGF1	ENST00000337514	ENST00000307046	ENST00000307046	ENST00000337514
IGF1R	ENST00000650285	ENST00000650285	ENST00000650285	ENST00000650285
IGF2	ENST00000416167	ENST00000434045	ENST00000434045	ENST00000416167
IKBKE	ENST00000581977	ENST00000581977	ENST00000581977	ENST00000581977
IKZF1	ENST00000331340	ENST00000331340	ENST00000331340	ENST00000331340
IKZF3	ENST00000346872	ENST00000346872		ENST00000346872
IL10	ENST00000423557	ENST00000423557	ENST00000423557	ENST00000423557
IL3	ENST00000296870	ENST00000296870		ENST00000296870
IL6ST	ENST00000381298	ENST00000336909		ENST00000381298
IL7R	ENST00000303115	ENST00000303115	ENST00000303115	ENST00000303115
ING1	ENST00000333219	ENST00000375774		ENST00000333219
INHA	ENST00000243786	ENST00000243786	ENST00000243786	ENST00000243786
INHBA	ENST00000242208	ENST00000242208	ENST00000242208	ENST00000242208
INPP4A	ENST00000409851	ENST00000074304	ENST00000074304	ENST00000409851
INPP4B	ENST00000262992	ENST00000262992	ENST00000513000	
INPPL1	ENST00000298229	ENST00000298229	ENST00000298229	ENST00000298229
INSR	ENST00000302850	ENST00000302850	ENST00000302850	ENST00000302850
INSRR	ENST00000368195		ENST00000368195	ENST00000368195
INTS6	ENST00000311234	ENST00000311234		ENST00000311234
IQGAP1	ENST00000268182	ENST00000268182		ENST00000268182
IRF1	ENST00000245414	ENST00000245414		ENST00000245414
IRF2	ENST00000393593	ENST00000393593		ENST00000393593
IRF4	ENST00000380956	ENST00000380956	ENST00000380956	ENST00000380956
IRF8	ENST00000268638	ENST00000268638		ENST00000268638
IRS1	ENST00000305123	ENST00000305123	ENST00000305123	ENST00000305123
IRS2	ENST00000375856	ENST00000375856	ENST00000375856	ENST00000375856
ITPKB	ENST00000429204	ENST00000272117		
JAK1	ENST00000342505	ENST00000342505	ENST00000342505	ENST00000342505
JAK2	ENST00000381652	ENST00000381652	ENST00000381652	ENST00000381652
JAK3	ENST00000458235	ENST00000458235	ENST00000458235	ENST00000458235
JARID2	ENST00000341776	ENST00000341776		ENST00000341776
JAZF1	ENST00000283928	ENST00000283928		ENST00000283928
JUN	ENST00000371222	ENST00000371222	ENST00000371222	ENST00000371222
KAT6A	ENST00000265713	ENST00000265713		ENST00000265713
KAT7	ENST00000259021	ENST00000259021		ENST00000259021
